partnerID,statusWFID
c0746d37-c2a1-4808-a9fe-e95db0905bde,6bb01114-9546-4df4-a4d0-ac293121231e
4e415dd7-4e8f-4b59-adab-734fbdbc6ae9,14b212f6-57c6-48cc-8746-79b652c70c21
c553866c-6dc2-47c3-b629-30253a31dbb2,a56b6aa0-f600-44df-b5b6-5a2ee4aa64a2
1d243a68-6cfa-47fc-841b-67f274d74c41,d08902fb-3193-49ec-ae29-5f710357606c
0cc1150d-015c-4a40-a407-bc6199841514,eca62ce0-3907-498a-842c-1c62a1f3b24d
c0746d37-c2a1-4808-a9fe-e95db0905bde,ac2adac7-42b6-4fa9-be43-3ae8b2f8829b
4e415dd7-4e8f-4b59-adab-734fbdbc6ae9,8b607898-874a-4757-b206-88dca3a2712e
c553866c-6dc2-47c3-b629-30253a31dbb2,41275130-d2cb-4df0-90d6-2bba827bcf37
1d243a68-6cfa-47fc-841b-67f274d74c41,f14d9829-d1b7-46d6-b487-db6dfd16acee
0cc1150d-015c-4a40-a407-bc6199841514,b0759c95-7093-4d07-a5cc-02c6e5a9df8c
c0746d37-c2a1-4808-a9fe-e95db0905bde,6428a39c-22ed-4ee2-85f7-a36ecbf58e77
c553866c-6dc2-47c3-b629-30253a31dbb2,09812fd2-c16a-466b-ba42-e4c9829e4a7e
4e415dd7-4e8f-4b59-adab-734fbdbc6ae9,c67d1056-88dd-49e9-9cd9-56b45962e460
1d243a68-6cfa-47fc-841b-67f274d74c41,19d22eca-2f3e-475a-b8d9-0063a920b64b
0cc1150d-015c-4a40-a407-bc6199841514,163a09a2-870d-4b69-bbc1-5cf49ead7f39
c0746d37-c2a1-4808-a9fe-e95db0905bde,cb3cabc2-7779-4c16-937d-e3f1537f3531
c553866c-6dc2-47c3-b629-30253a31dbb2,aeb63150-d4b6-469e-b61a-6eee0fc25080
4e415dd7-4e8f-4b59-adab-734fbdbc6ae9,4f63411f-9ee3-44c1-8b9a-8f73989a8529
1d243a68-6cfa-47fc-841b-67f274d74c41,9e454aa5-4835-4500-b7c7-217eaed826a2
0cc1150d-015c-4a40-a407-bc6199841514,1e243700-d208-4c88-a382-ada88f26ec49
c0746d37-c2a1-4808-a9fe-e95db0905bde,7d855be8-0a4f-4cd6-b8a2-739de4e0ea81
c553866c-6dc2-47c3-b629-30253a31dbb2,e8d33b60-e5ce-48f6-b149-ad86778e46de
4e415dd7-4e8f-4b59-adab-734fbdbc6ae9,935f8f34-f240-4fbb-bb49-23d44c60873c
1d243a68-6cfa-47fc-841b-67f274d74c41,1a2f3f4c-7d34-4260-a915-5dfc5e63fc82
0cc1150d-015c-4a40-a407-bc6199841514,021bc26f-b167-4a48-b30f-56af27f242b9
