partnerID,statusID
c0746d37-c2a1-4808-a9fe-e95db0905bde,db044531-ce57-4aa7-b9e0-c21ca54952ae
c0746d37-c2a1-4808-a9fe-e95db0905bde,768aec7b-ec71-4c36-b7fe-59276cac6f2f
c0746d37-c2a1-4808-a9fe-e95db0905bde,dc1ce2a7-fbdb-4630-8445-4d3fa622fe74
c0746d37-c2a1-4808-a9fe-e95db0905bde,e221acf7-779d-4535-8a13-74a9bad1579a
c0746d37-c2a1-4808-a9fe-e95db0905bde,7f11d58d-917c-49bf-a20f-0eec1e60ed85
1d243a68-6cfa-47fc-841b-67f274d74c41,95e641e0-8c3a-4de9-bfd9-fa7a28f10f82
1d243a68-6cfa-47fc-841b-67f274d74c41,e7d58bc5-e3cd-42f3-8c36-72022c0bf9a6
1d243a68-6cfa-47fc-841b-67f274d74c41,d750a881-1395-40e8-9052-04f0aa814251
1d243a68-6cfa-47fc-841b-67f274d74c41,2b7db50f-5597-4a4a-9d9b-b69d800ea851
1d243a68-6cfa-47fc-841b-67f274d74c41,737862c8-f125-4024-adaf-accc629922f7
c553866c-6dc2-47c3-b629-30253a31dbb2,65eba6d8-5064-446e-93b0-aebc677a4645
c553866c-6dc2-47c3-b629-30253a31dbb2,98d1f865-8ddd-413f-94be-05f347346ad0
c553866c-6dc2-47c3-b629-30253a31dbb2,3c0b5585-f383-4599-8250-903502cf3b50
c553866c-6dc2-47c3-b629-30253a31dbb2,d1dcf685-0071-49f8-804e-7926644536e7
c553866c-6dc2-47c3-b629-30253a31dbb2,4ea312d0-8e2d-4b15-a8cf-d7d9ed9bec1c
4e415dd7-4e8f-4b59-adab-734fbdbc6ae9,21a0d430-7f4b-4a43-9bc1-5ec4b41f90c6
4e415dd7-4e8f-4b59-adab-734fbdbc6ae9,a0fd2dcd-8580-4136-8a94-2c692fcc5ae7
4e415dd7-4e8f-4b59-adab-734fbdbc6ae9,186d3037-b11a-4720-8414-6984edd7e5d2
4e415dd7-4e8f-4b59-adab-734fbdbc6ae9,8d97fc7b-8657-4d15-9f66-bd51b757e5fe
4e415dd7-4e8f-4b59-adab-734fbdbc6ae9,4ed75a3b-30f1-412d-b227-1f366c049d58
0cc1150d-015c-4a40-a407-bc6199841514,ec1cd3b9-1349-47f3-8c78-9debb42d6095
0cc1150d-015c-4a40-a407-bc6199841514,cf550311-9652-4ccc-ba0e-063ae53d5a61
0cc1150d-015c-4a40-a407-bc6199841514,15435a0e-4287-41e3-9aba-2c01b7b3c9dc
0cc1150d-015c-4a40-a407-bc6199841514,87d626ac-c862-4b9b-a929-6a763050e797
0cc1150d-015c-4a40-a407-bc6199841514,e40a0da2-8401-480f-9726-4d90e115f7f8
